date,author,start_price,end_price,year,tech,decade,dimension,technique,category
1997,Evald Okas,831.0,844.0,1939.0,õli vineer ,1930.0,1140.0,õli vineer,Õlimaal
1997,Karl Burman (seenior),499.0,499.0,1920.0,akvarell ,1920.0,768.0,akvarell,Muu maalitehnika
1998,Valerian Loik,1074.0,1074.0,1970.0,õli lõuend ,1970.0,6497.0,õli lõuend,Õlimaal
1998,Roman Nyman,1176.0,1176.0,1940.0,õli papp ,1940.0,1066.0,õli papp,Õlimaal
1998,Eduard Wiiralt,230.0,556.0,1936.0,puulõige ,1930.0,140.0,puugravüür,Kõrgtrükk
1998,Aino Bach,920.0,920.0,1946.0,ofort akvatinta ,1940.0,,akvatinta,Sügavtrükk
1998,Aino Bach,831.0,831.0,1950.0,monotüüpia ,1950.0,2475.0,monotüüpia,Lametrükk
1998,Eduard Kutsar,1150.0,1150.0,1950.0,õli lõuend ,1950.0,4118.0,õli lõuend,Õlimaal
1998,Richard Sagrits,575.0,671.0,1958.0,õli papp ,1950.0,1715.0,õli papp,Õlimaal
1998,Oskar Raunam,1470.0,1643.0,1941.0,õli lõuend ,1940.0,2806.0,õli lõuend,Õlimaal
1998,Günther Reindorff,1342.0,1342.0,,tint ,,,tint,Joonistustehnika
1998,Aleksander Vardi,575.0,575.0,1957.0,tuss ,1950.0,1800.0,tušš,Joonistustehnika
1998,Valdur Ohakas,614.0,767.0,1958.0,õli vineer ,1950.0,2604.0,õli vineer,Õlimaal
1998,Märt Bormeister,831.0,831.0,1956.0,õli lõuend ,1950.0,2090.0,õli lõuend,Õlimaal
1998,Karl Burman,460.0,499.0,,akvarell ,,1998.0,akvarell,Muu maalitehnika
1998,Oskar Georg Adolf Hoffmann,3515.0,3515.0,,õli puit ,,693.0,õli puit,Muu
1998,Andrei Jegorov,959.0,997.0,1930.0,tempera ,1930.0,1650.0,tempera,Muu maalitehnika
1998,Andrei Jegorov,2358.0,2895.0,1927.0,õli lõuend ,1920.0,4560.0,õli lõuend,Õlimaal
1998,Paul Liivak,767.0,1055.0,1920.0,akvarell ,1920.0,1950.0,akvarell,Muu maalitehnika
1998,Hando Mugasto,959.0,1112.0,1933.0,monotüüpia ,1930.0,1170.0,monotüüpia,Lametrükk
1998,Amandus Adamson,4218.0,5081.0,1906.0,õli lõuend vineeril ,1900.0,3864.0,õli vineer,Õlimaal
1998,Karl Burman (seenior),575.0,652.0,1950.0,akvarell ,1950.0,800.0,akvarell,Muu maalitehnika
1998,Voldemar Kangro-Pool,320.0,415.0,1921.0,tint sulg ,1920.0,494.0,tint,Joonistustehnika
1998,Lepo Mikko,588.0,588.0,1953.0,õli papp ,1950.0,850.0,õli papp,Õlimaal
1998,Juhan Nõmmik,2141.0,3061.0,,õli lõuend ,,3510.0,õli lõuend,Õlimaal
1998,Gustav Raud,1687.0,2595.0,1938.0,õli lõuend ,1930.0,10900.0,õli lõuend,Õlimaal
1998,Salome Trei,320.0,377.0,1938.0,kuivnõel ,1930.0,696.0,kuivnõel,Sügavtrükk
1998,Lydia Wademan-Jans,499.0,518.0,1920.0,pastell ,1920.0,1419.0,pastell,Muu maalitehnika
1998,Evald Okas,639.0,639.0,,õli lõuend ,,6500.0,õli lõuend,Õlimaal
1998,Nikolai Kull,2109.0,2224.0,1920.0,õli lõuend ,1920.0,4347.0,õli lõuend,Õlimaal
