Auction Year,Author,Title,Year of Artwork,Technique,Size,Start Price,End Price
2022,Eduard Wiiralt,Tiger With A Cat,1937-1950,"Soft-ground etching, drypoint",29.8 x 39.5 cm,7 800,23 200
2021,Leonhard Lapin,Females I,1994,"Ink, gouache, paper",21.9 x 80 cm,3 800,18 100
2022,Eduard Wiiralt,Artist And The Model,1926,"Pencil, paper",37.7 x 24.2 cm,8 900,15 600
2022,Eduard Wiiralt,Five Women,1928,Drypoint,22.7 x 32.5 cm,5 200,14 000
2017,Eduard Wiiralt,A Scene On The Street,1931,-,5 km 39.8 x 49.6 cm,11 900,13 600
2019,Johann Köler,Cursing Lorelei By The Monks,1887,"Pencil, paper (glued to the fabric)",101 x 113.5 cm,13 000,13 000
2021,Evald Okas,Japanese Women With Masks,1965,Lithography,82 x 60 cm,4 200,12 100
2021,Eduard Wiiralt,A Dancer,1926,"Ink, paper",28 x 19 cm,3 900,11 100
2021,Jüri Arrak,A Touch Of The Sculpture,1977,"Charcoal, cardboard",70 x 100 cm,3 900,11 100
2022,Eduard Wiiralt,A Seated Lady,1941,Mezzotinto,48 x 32.6 cm,3 600,10 600
2022,Eduard Wiiralt,Lions,1922,Lithography,44.9 x 49.8 cm,6 200,9 100
2022,Richard Kaljo,In The Cafe,1943,Drypoint,58.5 x 44.5 cm,2 400,8 900
2022, Kaljo Põllu,"""Kodalased"" From The Päikesevene Series",1974,Mezzotinto,37.2 x 49 c,1 500,"8 600"""
2022,Eduard Wiiralt,A Camel's Head,1938-1950,"Soft-ground etching, aquatint",39.3 x 30.4 cm,3 900,8 400
2022,Jüri Arrak,Flight,1983,Lithography,42 x 32 cm,1 200,8 300
2021,Eduard Wiiralt,Okapis ,1949,Aquatint,24.8 x 43.2 cm,2 700,8 300
2022,Eduard Wiiralt,Virve,1943,Drypoint,34.3 x 31 cm,3 400,7 700
2017,Eduard Wiiralt,Brothel Scene,1931,"Brown ink, paper",32 x 24 cm,6 200,7 500
2021,Kristjan Raud,The Death Of Kalevipoeg,1935,"Pencil, paper",23.7 x 45.8 cm,4 300,7 200
2017,Eduard Wiiralt,Hell,1930,Etching,39.5 x 46.2 cm,7 000,7 000
