Oksjoni aasta,Autor,Pealkiri,Teose aasta (vahemik),Tehnika,Suurus,Alghind,Haamrihind
2022,Eduard Wiiralt,Tiiger kassiga,1937-1950,"Pehmelakk, kuivnõel",29.8 x 39.5 cm,7 800,23 200
2021,Leonhard Lapin,Emased I,1994,"Tušš, guašš, paber",21.9 x 80 cm,3 800,18 100
2022,Eduard Wiiralt,Kunstnik ja modell,1926,"Pliiats, paber",37.7 x 24.2 cm,8 900,15 600
2022,Eduard Wiiralt,Viis naist,1928,Kuivnõel,22.7 x 32.5 cm,5 200,14 000
2017,Eduard Wiiralt,Stseen tänaval,1931,-,5 km 39.8 x 49.6 cm,11 900,13 600
2019,Johann Köler,Lorelei needmine munkade poolt,1887,"Pliiats, paber (kleebitud kangale)",101 x 113.5 cm,13 000,13 000
2021,Evald Okas,Jaapanlanna maskidega,1965,Litograafia,82 x 60 cm,4 200,12 100
2021,Eduard Wiiralt,Tantsitaja,1926,"Tušš, paber",28 x 19 cm,3 900,11 100
2021,Jüri Arrak,Skulptuuri puudutus,1977,"Süsi, kartong",70 x 100 cm,3 900,11 100
2022,Eduard Wiiralt,Istuv daam,1941,Mezzotinto,48 x 32.6 cm,3 600,10 600
2022,Eduard Wiiralt,Lõvid,1922,Litograafia,44.9 x 49.8 cm,6 200,9 100
2022,Richard Kaljo,Kohvikus,1943,Kuivnõel,58.5 x 44.5 cm,2 400,8 900
2022, Kaljo Põllu,"Päikesevene sarjast """"Kodalased""""",1974,Metsotinto plm,37.2 x 49 c,1 500,"8 600"""
2022,Eduard Wiiralt,Kaameli pea,1938-1950,"Pehmelakk, akvatinta",39.3 x 30.4 cm,3 900,8 400
2022,Jüri Arrak,Lend,1983,Litograafia,42 x 32 cm,1 200,8 300
2021,Eduard Wiiralt,Okaapid,1949,Akvatinta,24.8 x 43.2 cm,2 700,8 300
2022,Eduard Wiiralt,Virve,1943,Kuivnõel,34.3 x 31 cm,3 400,7 700
2017,Eduard Wiiralt,Bordellistseen,1931,"Pruun tint, paber",32 x 24 cm,6 200,7 500
2021,Kristjan Raud,Kalevipoja surm,1935,"Pliiats, paber",23.7 x 45.8 cm,4 300,7 200
2017,Eduard Wiiralt,Põrgu,1930,Ofort,39.5 x 46.2 cm,7 000,7 000
