Oksjoni aasta,Oksjon,Autor,Pealkiri,Teose aasta (vahemik),Tehnika,Suurus,Alghind,Haamrihind
2007,Eesti vanema kunsti klassika,Konrad Mägi,Capri maastik,1922-1923,"Õli, lõuend",58.5 x 67.5 cm,33 873,127 823
2022,Eesti moodsa kunsti klassika,Peeter Mudist,Luuletaja Lydia Koidula,1974,"Õli, lõuend",150 x 100 cm,35 000,111 000
2022,Eesti vanema kunsti klassika,Konrad Mägi,Norra maastik,1908-1910,"Õli, paber",25.4 x 33.2 cm,64 000,103 000
2020,Eesti moodsa kunsti klassika,Olev Subbi,Õu vana autoga,1979,"Õli, tempera, masoniit",67.5 x 91 cm,16 500,100 500
2022,Eesti vanema kunsti klassika,Konstantin Süvalo,Pühajärv,1919,"Õli, papp ",48 x 50 cm,34 000,86 000
2008,Eesti vanema kunsti klassika,Konrad Mägi,Itaalia maastik,1922-1923,"Õli, papp",85.5 x 62.5 cm,58 799,73 498
2004,Eesti vanema kunsti klassika,Konrad Mägi,Capri,1922,"Õli, lõuend",56 x 68 cm,11 632,64 295
2020,Eesti vanema kunsti klassika,Aleksander Krims,Viiuldaja / Muusiker,1930ndad,"Õli, lõuend",103.5 x 64 cm,11 500,58 500
2020,Eesti moodsa kunsti klassika,Peeter Mudist,Ei saa pidama,1976,"Õli, lõuend",160 x 105 cm,27 000,58 000
2021,Eesti vanema kunsti klassika,Evald Okas,Vana kalur,1955,"Õli, lõuend",87 x 90 cm,38 000,58 000
2017,Eesti vanema kunsti klassika,Amandus Adamson,Tšempion (Georg Lurich),1903,-,7 101 x 35 cm,45 000,57 200
2021,Eesti moodsa kunsti klassika,Tiit Pääsuke,Vaade aknasse,1975,"Õli, email, masoniit",55 x 119.5 cm,25 000,45 000
2020,Eesti vanema kunsti klassika,Johannes Võerahansu,Rukkilõikus,1938,"Õli, lõuend",99 x 119 cm,13 400,44 500
2005,Eesti vanema kunsti klassika,Konrad Mägi,Itaalia maastik,1921,"Õli, lõuend",67 x 58 cm,34 512,41 606
2004,Eesti vanema kunsti klassika,Konrad Mägi,Rannamaastik,1913,"Õli, papp",38 x 48 cm,12 463,39 306
2022,Eesti vanema kunsti klassika,Adamson-Eric,Kunstniku lilled,1930ndad,"Õli, lõuend",49 x 39 cm,13 000,38 500
2021,Eesti moodsa kunsti klassika,Olev Subbi,Väga punane lill,1970,"Tempera, õli, lõuend",42 x 30.5 cm,3 500,35 500
2021,Eesti moodsa kunsti klassika,Peeter Mudist,Suvel,1975,"Õli, lõuend",73 x 100.5 cm,12 000,33 000
2020,Eesti vanema kunsti klassika,Roman Nyman,Boboli aed,1924,"Õli, lõuend",73 x 76 cm,8 700,32 400
2018,Eesti vanema kunsti klassika,Johannes Võerahansu,Läänemaa motiiv,1930,"Õli, lõuend",100 x 120 cm,16 800,31 200
