Oksjoni aasta,Autor,Pealkiri,Teose aasta (vahemik),Tehnika,Suurus,Alghind,Haamrihind
2022,Peeter Mudist,Luuletaja Lydia Koidula,1974,"Õli, lõuend",150 x 100 cm,35 000,111 000
2020,Olev Subbi,Õu vana autoga,1979,"Õli, tempera, masoniit",67.5 x 91 cm,16 500,100 500
2020,Peeter Mudist,Ei saa pidama,1976,"Õli, lõuend",160 x 105 cm,27 000,58 000
2021,Tiit Pääsuke,Vaade aknasse,1975,"Õli, email, masoniit",55 x 119.5 cm,25 000,45 000
2021,Olev Subbi,Väga punane lill,1970,"Tempera, õli, lõuend",42 x 30.5 cm,3 500,35 500
2021,Peeter Mudist,Suvel,1975,"Õli, lõuend",73 x 100.5 cm,12 000,33 000
2021,Rein Kelpman,Autosõit,1987,"Õli, lõuend",149 x 169 cm,6 400,25 500
2022,Peeter Mudist,Maastik garaažidega,1980ndad,"Õli, papp",50 x 79.5 cm,6 900,25 200
2021,Toomas Vint,Vaade rohelisele,1998-2000,"Õli, lõuend",100 x 105 cm,14 400,24 900
2022,Olga Terri,Vaade aeda,1982,"Õli, lõuend",105 x 150 cm,14 000,24 500
2018,Valdur Ohakas,Baar,1963,"Õli, lõuend",102 x 141.5 cm,15 500,22 500
2021,Aili Vint,Katastroof,1967,"Guašš, paber lm",61 x 67 cm,4 100,21 700
2020,Lembit Sarapuu,Pulmakleit Ledale,1998-1999,"Õli, lõuend",116 x 89 cm,13 000,21 200
2021,Edgar Valter,Pikajalgsed hobused,1971,Õli,79 x 62 cm,2 400,21 100
2017,Olev Subbi,Tantsijad,1962,"Õli, lõuend",177 x 119 cm,21 000,21 000
2022,Toomas Vint,Vaade aknast II,1997,"Õli, lõuend",73 x 83 cm,9 700,20 500
2021,Peeter Mudist,Maastik Saaremaal,1989,"Õli, papp",50 x 70 cm,5 400,20 200
2021,Jaan Toomik,Riidepuu I,2018,"Õli, lõuend",110 x 90 cm,7 800,19 700
2020,Jüri Arrak,Valvur,2000,"Õli, lõuend",97 x 146 cm,13 000,18 800
2021,Olav Maran,Amarüllised kohviveskiga,1980,"Õli, papp",69.5 x 52 cm,4 200,18 600
2021,Evald Okas,Naine ja mees,1990,"Õli, lõuend",130 x 97 cm,16 000,18 500
2021,Toomas Vint,Kabiin pargis,1990,"Õli, lõuend",92 x 105 cm,12 300,18 300
2022,Jaan Toomik,Vaikelu III,2008,"Õli, lõuend",145 x 195.5 cm,16 000,18 000
2021,Olev Subbi,Aprilliõhtu,2003,"Õli, akrüül, masoniit",90 x 120 cm,18 000,18 000
2022,Malle Leis,Langemine II,1989,"Õli, lõuend",100 x 100 cm,9 000,17 700
2022,Toomas Vint,Rene Magritte'i kollaste väävlitega tikud,1997,"Õli, lõuend",70.5 x 92.5 cm,11 000,17 500
2022,Jaan Elken,Natüürmort rohelise papagoiga,1976,"Õli, lõuend",97 x 67 cm,11 000,17 500
2021,Paul Allik,Akt oranži ja rohelisega,1991,"Akrüül, lõuend",96.5 x 145 cm,6 300,17 200
2022,Malle Leis,Sukmiti aed XXI,1996,"Õli, lõuend",90 x 90 cm,8 200,17 000
2020,Jaan Elken,Vitriin,1980,"Õli, lõuend",76 x 98 cm,8 400,17 000
2022,Sirje Runge,Tantsijad,1974,"Õli, lõuend",100 x 90 cm,7 700,16 600
2022,Olav Maran,Vaikelu vaskesemetega,1986-1987,"Õli, lõuend",65 x 92.5 cm,5 400,16 200
2022,Priit Pangsepp,Sinise laua taga,2004,"Õli, lõuend",140 x 140 cm,6 000,16 200
2022,Jüri Arrak,Mäng,1980,"Õli, lõuend",37 x 75 cm,7 300,16 000
2022,Jaan Toomik,Isalind,2004,"Akrüül, lõuend",180 x 130 cm,12 000,16 000
2018,Sirje Runge,Tiigrid linnas,1969,"Õli, lõuend",153 x 104.5 cm,16 000,16 000
2021,Aili Vint,Mimoos,1967,"Guašš, paber",61 x 67 cm,4 100,15 200
2019,Olev Subbi,Viis kaske,2013,"Õli, akrüül, masoniit",60 x 80 cm,7 800,15 100
2022,Toomas Vint,Puu lagendikul,1989,"Õli, lõuend",80 x 92 cm,9 000,15 000
2021,Rein Kelpman,Akt potilillega,1983,"Õli, lõuend",115 x 120.5 cm,5 700,14 700
2022,Mall Nukke,Urban Romantics - Cupido,2011,Segatehnika,60 x 100.5 cm,6 000,13 200
2021,Jüri Palm,algus aknast,1971,"Õli, puitplaat",73.5 x 44 cm,2 100,13 100
2022,Malle Leis,Kompositsioon sidrunitega,1988,"Õli, lõuend",100 x 100 cm,9 000,12 200
2022,Jüri Arrak,Segadus,1995,"Õli, masoniit, klišeed",88 x 103 cm,5 000,12 100
2022,Peeter Mudist,Sõrve rannavaade,1980ndad,"Õli, papp",50 x 80 cm,5 600,12 100
2020,Rein Kelpman,Naisakt,1989,"Õli, lõuend",75 x 150 cm,5 800,12 000
2020,Olev Subbi,Väikesed astrid,1999,"Akrüül, pastell, masoniit",60 x 80 cm,12 000,12 000
2022,Miljard Kilk,Mäng,1994,"Õli, lõuend",115 x 155 cm,11 500,11 500
2021,Malle Leis,Päevalilled,1995,"Õli, lõuend",90 x 90 cm,11 000,11 000
2021,Jüri Arrak,Kuldse taeva all,1998,"Õli, lõuend papil",68.5 x 50 cm,5 800,10 500
