Auction Year,Author,Title,Year of Artwork,Technique,Size,Start Price,End Price
2022,Konrad Mägi,Norway Landscape,1908-1910,"Oil, paper",25.4 x 33.2 cm,64 000,103 000
2022,Konstantin Süvalo,Pühajärv,1919,"Oil, cardboard ",48 x 50 cm,34 000,86 000
2020,Aleksander Krims,Violist/ Muusiker,1930ndad,"Oil, canvas",103.5 x 64 cm,11 500,58 500
2021,Evald Okas,An Old Fisherman,1955,"Oil, canvas",87 x 90 cm,38 000,58 000
2017,Amandus Adamson,Champion (Georg Lurich),1903,-,7 101 x 35 cm,45 000,57 200
2020,Johannes Võerahansu,Rye Harvest,1938,"Oil, canvas",99 x 119 cm,13 400,44 500
2022,Adamson-Eric,Artists Flowers,1930ndad,"Oil, canvas",49 x 39 cm,13 000,38 500
2020,Roman Nyman,Boboli's Garden,1924,"Oil, canvas",73 x 76 cm,8 700,32 400
2018,Johannes Võerahansu,Läänemaa Motif,1930,"Oil, canvas",100 x 120 cm,16 800,31 200
2018,Andrus Johani,Potato Planters,1939,"Oil, canvas",68.5 x 85.5 cm,21 000,31 000
2021,Aleksander Vardi,Still Life With A Kitten,1930ndad,"Oil, canvas",74 x 60.5 cm,10 700,30 200
2021,Juhan Püttsepp,Landscape With Herd,1936,"Oil, canvas",71 x 93 cm,-,30 200
2022,Roman Nyman,Spanish View (Cuenca),1923,"Oil, canvas",50 x 65 cm,13 000,29 000
2021,Johannes Võerahansu,Sheep Shearer ,1938,"Oil, canvas",59 x 79 cm,-,28 700
2022,Ado Vabbe,Coastal Landscape With Sailboat,1928,"Oil, cardboard",43.3 x 57 cm,15 300,28 300
2022,Johannes Greenberg,Composition (Heirs),1940-1944,"Oil, canvas",110.5 x 135.5 cm,28 000,28 000
2021,Roman Nyman,Fixing The Net,1941,"Oil, canvas",60 x 81 cm,14 000,27 500
2018,Elmar Kits,Valgemetsa View,1960,"Oil, canvas",64.5 x 80 cm,3 400,27 000
2019,Karin Luts,Fish Women,1949,"Oil, canvas",66.5 x 73.5 cm,5 200,26 600
2021,August Jansen,The Farm,1926,"Oil, canvas",56.5 x 94.5 cm,5 300,26 600
2021,Richard Uutmaa,Beach Village View,1935,"Oil, canvas",57.5 x 66 cm,5 400,26 500
2022,Johannes Greenberg,Two Women,1940-1944,"Oil, canvas",74.5 x 63.4 cm,17 000,26 000
2019,Konrad Mägi,Oberstdorf's Landscape,1922,"Oil, canvas",41 x 26 cm,23 000,26 000
2017,Kaarel Liimand,Portrait Of The Girls,1939,"Oil, canvas",81 x 65 cm,17 000,25 800
2022,Lepo Mikko,Constructors ,1963,"Oil, tempera, canvas",122 x 80 cm,13 000,25 500
2019,Aarne Miikmaa,Kärdla's Networkshed ,1940,"Oil, canvas",83 x 99 cm,13 000,23 600
2020,Paul Burman,Women With Horses,1920ndad,"Watercolor, gouache, cardboard",52.8 x 70 cm,7 600,23 200
2021,Elmar Kits,In Studio,1965,"Oil, canvas",73 x 60.5 cm,9 000,22 700
2021,Johannes Võerahansu,Landscape With Windmill,1935,"Oil, canvas",60 x 85 cm,12 000,21 500
2019,Ado Vabbe,Karksi's Motif,1944,"Oil, paper (glued to cardboard)",,8 500,20 700
2022,Evald Okas,Evening In Soonda Village,1960,"Oil, canvas",65 x 100 cm,5 900,20 100
2022,Richard Uutmaa,Fishing Boats On The Shore,1966,"Oil, canvas",64 x 80.5 cm,6 400,20 000
2022,Eerik Haamer,Lofoten Fisherman,1953,"Oil, canvas",102.5 x 126 cm,17 000,20 000
2017,Richard Uutmaa,Altja Beach,1939,"Oil, canvas",81 x 104 cm,6 200,19 300
2021,August Jansen,Käravete's Gentleman's House,1938,"Oil, canvas",72 x 93 cm,5 700,18 700
2022,August Jansen,Summer Riverside With Boats,1929,"Oil, canvas on cardboard",43 x 31.5 cm,2 600,18 200
2022,Elmar Kits,Landscape With A Windmill,1959,"Oil, canvas",56 x 73.5 cm,8 000,18 100
2020,Andrus Johani,A Suburb Of Paris,1937,"Pastel, paper",40.5 x 46.6 cm,18 000,18 000
2021,Richard Uutmaa,Spring Landscape,1958,"Oil, canvas",60 x 80 cm,5 800,17 500
2014,Kaarel Liimand,Tartu's Motif,1939,"Oil, canvas",59 x 73 cm,15 700,17 100
2022,August Jansen,Summer House,1927,"Oil, canvas",50 x 76 cm,5 400,16 700
2022,August Jansen,Lauri's Farm Yard,1945-1954,"Oil, masonite",84 x 102 cm,-,16 700
2022,Richard Uutmaa,Three Bouquets,1962,"Oil, canvas",50 x 70 cm,5 100,16 500
2018,Elmar Kits,Toomemägi In Winter,1959,"Oil, canvas",61.5 x 76.5 cm,9 000,15 800
2022,Richard Uutmaa,Winter Landscape With Pine Trees,1956,"Oil, cardboard",50 x 70 cm,5 900,15 600
2022,Erich Pehap,In Cafe,1965,"Oil, canvas",85.5 x 59 cm,4 900,15 500
2022,Richard Uutmaa,Fishing Net Sheds,1960,"Oil, canvas",50 x 70 cm,5 200,15 000
2022,Ado Vabbe,Act,1940ndad,"Oil, cardboard",52.5 x 46 cm,15 000,15 000
2022,Richard Uutmaa,Saaremaa's Beach,1960,"Oil, canvas",65 x 81 cm,7 800,14 000
2018,Nikolai Kummits,Mother With A Baby,1935,"Oil, canvas",89 x 71 cm,-,14 000
2022,Evald Okas,Fisherman By The River,1952,"Oil, cardboard",34.5 x 50 cm,3 800,13 200
2013,Oskar Kallis,Liiva - Annus,1918,Pastel,46.5 x 46 cm,5 800,13 200
