Oksjoni aasta,Autor,Pealkiri,Teose aasta (vahemik),Tehnika,Suurus,Alghind,Haamrihind
2022,Konrad Mägi,Norra maastik,1908-1910,"Õli, paber",25.4 x 33.2 cm,64 000,103 000
2022,Konstantin Süvalo,Pühajärv,1919,"Õli, papp ",48 x 50 cm,34 000,86 000
2020,Aleksander Krims,Viiuldaja / Muusiker,1930ndad,"Õli, lõuend",103.5 x 64 cm,11 500,58 500
2021,Evald Okas,Vana kalur,1955,"Õli, lõuend",87 x 90 cm,38 000,58 000
2017,Amandus Adamson,Tšempion (Georg Lurich),1903,-,7 101 x 35 cm,45 000,57 200
2020,Johannes Võerahansu,Rukkilõikus,1938,"Õli, lõuend",99 x 119 cm,13 400,44 500
2022,Adamson-Eric,Kunstniku lilled,1930ndad,"Õli, lõuend",49 x 39 cm,13 000,38 500
2020,Roman Nyman,Boboli aed,1924,"Õli, lõuend",73 x 76 cm,8 700,32 400
2018,Johannes Võerahansu,Läänemaa motiiv,1930,"Õli, lõuend",100 x 120 cm,16 800,31 200
2018,Andrus Johani,Kartulipanijad,1939,"Õli, lõuend",68.5 x 85.5 cm,21 000,31 000
2021,Aleksander Vardi,Natüürmort kassikesega,1930ndad,"Õli, lõuend",74 x 60.5 cm,10 700,30 200
2021,Juhan Püttsepp,Maastik karjaga,1936,"Õli, lõuend",71 x 93 cm,-,30 200
2022,Roman Nyman,Hispaania vaade (Cuenca),1923,"Õli, lõuend",50 x 65 cm,13 000,29 000
2021,Johannes Võerahansu,Lambapügaja,1938,"Õli, lõuend",59 x 79 cm,-,28 700
2022,Ado Vabbe,Rannamaastik purjekaga,1928,"Õli, papp",43.3 x 57 cm,15 300,28 300
2022,Johannes Greenberg,Kompositsioon (Pärijad),1940-1944,"Õli, lõuend",110.5 x 135.5 cm,28 000,28 000
2021,Roman Nyman,Võrgu parandamine,1941,"Õli, lõuend",60 x 81 cm,14 000,27 500
2018,Elmar Kits,Valgemetsa vaade,1960,"Õli, lõuend",64.5 x 80 cm,3 400,27 000
2019,Karin Luts,Kalanaised,1949,"Õli, lõuend",66.5 x 73.5 cm,5 200,26 600
2021,August Jansen,Talu,1926,"Õli, lõuend",56.5 x 94.5 cm,5 300,26 600
2021,Richard Uutmaa,Rannaküla vaade,1935,"Õli, lõuend",57.5 x 66 cm,5 400,26 500
2022,Johannes Greenberg,Kaks naist,1940-1944,"Õli, lõuend",74.5 x 63.4 cm,17 000,26 000
2019,Konrad Mägi,Oberstdorfi maastik,1922,"Õli, lõuend",41 x 26 cm,23 000,26 000
2017,Kaarel Liimand,Tütarlapse portree,1939,"Õli, lõuend",81 x 65 cm,17 000,25 800
